Date,Open,High,Low,Close,Adj Close,Volume,Neg,Neut,Pos
18/11/2013,514.528503,520.981506,511.294525,512.442078,512.442078,3542200,0.450692346,0.693312888,0.549307654
19/11/2013,512.526489,514.031738,508.219513,509.287567,509.287567,2277800,0.450692346,0.693312888,0.549307654
20/11/2013,511.647217,513.341187,506.883209,507.851898,507.851898,1939800,0.450692346,0.693312888,0.549307654
21/11/2013,510.181763,515.800232,509.684998,513.693909,513.693909,2197700,0.450692346,0.693312888,0.549307654
22/11/2013,513.371033,514.737122,511.284576,512.610962,512.610962,2524600,0.450692346,0.693312888,0.549307654
25/11/2013,515.228943,523.192139,514.165833,519.585571,519.585571,3246900,0.450692346,0.693312888,0.549307654
26/11/2013,520.911987,527.320313,518.100281,525.785278,525.785278,4602200,0.450692346,0.693312888,0.549307654
27/11/2013,527.583557,530.549316,526.575134,528.120117,528.120117,2261700,0.450692346,0.693312888,0.549307654
29/11/2013,527.648132,529.86377,526.301941,526.37146,526.37146,2401000,0.450692346,0.693312888,0.549307654
02/12/2013,528.318787,529.729614,521.984985,523.832947,523.832947,2764200,0.467801987,0.835619464,0.532198013
03/12/2013,522.079407,528.283997,521.120605,523.226929,523.226929,3373900,0.467801987,0.835619464,0.532198013
04/12/2013,522.288025,528.552307,521.607422,525.671021,525.671021,2398600,0.467801987,0.835619464,0.532198013
05/12/2013,525.184204,526.40625,522.148926,525.253723,525.253723,2282000,0.467801987,0.835619464,0.532198013
06/12/2013,531.438477,531.542847,526.614868,531.478271,531.478271,2876100,0.467801987,0.835619464,0.532198013
09/12/2013,532.034607,537.658081,530.559204,535.586548,535.586548,2984400,0.467801987,0.835619464,0.532198013
10/12/2013,534.597961,542.625732,534.349548,538.825439,538.825439,3731800,0.467801987,0.835619464,0.532198013
11/12/2013,540.186584,542.133911,534.111145,535.164246,535.164246,3445800,0.467801987,0.835619464,0.532198013
12/12/2013,536.296875,537.971008,531.046082,531.522949,531.522949,3213600,0.467801987,0.835619464,0.532198013
13/12/2013,534.225403,534.66748,525.526978,526.96759,526.96759,4352800,0.467801987,0.835619464,0.532198013
16/12/2013,528.562195,533.872681,527.573669,533.023193,533.023193,3224800,0.467801987,0.835619464,0.532198013
17/12/2013,532.943726,536.888062,530.738037,531.473267,531.473267,3091300,0.467801987,0.835619464,0.532198013
18/12/2013,532.461853,538.969543,526.098267,538.870178,538.870178,4449300,0.467801987,0.835619464,0.532198013
19/12/2013,536.893005,542.466797,536.053467,539.600403,539.600403,3353000,0.467801987,0.835619464,0.532198013
20/12/2013,540.633728,547.0271,540.48468,546.753906,546.753906,6565600,0.467801987,0.835619464,0.532198013
23/12/2013,550.340576,554.294861,548.98938,553.947083,553.947083,3465500,0.467801987,0.835619464,0.532198013
24/12/2013,553.882507,554.016663,550.469727,552.327637,552.327637,1477800,0.467801987,0.835619464,0.532198013
26/12/2013,553.40564,555.884521,550.762817,555.119507,555.119507,2692900,0.467801987,0.835619464,0.532198013
27/12/2013,556.381287,556.520386,552.874084,555.586426,555.586426,3159800,0.467801987,0.835619464,0.532198013
30/12/2013,556.550171,556.629639,550.926758,551.145325,551.145325,2488100,0.467801987,0.835619464,0.532198013
31/12/2013,552.526367,556.878052,549.555664,556.734009,556.734009,2733400,0.467801987,0.835619464,0.532198013
02/01/2014,554.125916,555.26355,550.549194,552.963501,552.963501,3666400,0.381713224,0.768881016,0.618286776
03/01/2014,553.897461,554.856201,548.894958,548.929749,548.929749,3355000,0.381713224,0.768881016,0.618286776
06/01/2014,552.908875,555.814941,549.645081,555.049927,555.049927,3561600,0.381713224,0.768881016,0.618286776
07/01/2014,558.865112,566.162659,556.95752,565.750366,565.750366,5138400,0.381713224,0.768881016,0.618286776
08/01/2014,569.297241,569.953003,562.983337,566.927673,566.927673,4514100,0.381713224,0.768881016,0.618286776
09/01/2014,568.025513,568.413025,559.143311,561.468201,561.468201,4196000,0.381713224,0.768881016,0.618286776
10/01/2014,565.859619,565.859619,557.499023,561.438354,561.438354,4314700,0.381713224,0.768881016,0.618286776
13/01/2014,559.595398,569.749329,554.975403,557.861633,557.861633,4869100,0.381713224,0.768881016,0.618286776
14/01/2014,565.298279,571.781128,560.400146,570.986267,570.986267,4997400,0.381713224,0.768881016,0.618286776
15/01/2014,572.769714,573.768188,568.199402,570.598816,570.598816,3925700,0.381713224,0.768881016,0.618286776
16/01/2014,570.83728,575.223694,570.290833,574.374268,574.374268,3389600,0.381713224,0.768881016,0.618286776
17/01/2014,574.687195,576.565002,568.403076,571.547607,571.547607,5437700,0.381713224,0.768881016,0.618286776
21/01/2014,576.71405,578.239136,571.930176,578.090088,578.090088,3985400,0.381713224,0.768881016,0.618286776
22/01/2014,579.535706,580.17157,575.68573,578.745789,578.745789,3163200,0.381713224,0.768881016,0.618286776
23/01/2014,576.252014,577.489014,573.4552,576.301697,576.301697,3923400,0.381713224,0.768881016,0.618286776
24/01/2014,571.786072,573.047852,557.871582,558.283875,558.283875,7835500,0.381713224,0.768881016,0.618286776
27/01/2014,559.41156,559.610291,537.638184,547.056946,547.056946,8763800,0.381713224,0.768881016,0.618286776
28/01/2014,551.572571,559.237671,551.383789,557.876526,557.876526,4449100,0.381713224,0.768881016,0.618286776
29/01/2014,555.944092,557.25061,546.157776,549.883545,549.883545,4790600,0.381713224,0.768881016,0.618286776
30/01/2014,568.800476,572.521301,559.982849,564.02655,564.02655,10248900,0.381713224,0.768881016,0.618286776
31/01/2014,581.890381,589.436279,571.845703,586.669312,586.669312,11204900,0.381713224,0.768881016,0.618286776
03/02/2014,585.789978,587.04187,562.347473,563.052856,563.052856,9197600,0.373932768,0.719862322,0.626067232
04/02/2014,565.318176,573.768188,564.831299,565.402588,565.402588,5660300,0.373932768,0.719862322,0.626067232
05/02/2014,567.995728,571.66687,560.365356,567.906311,567.906311,4820000,0.373932768,0.719862322,0.626067232
06/02/2014,571.845703,576.331543,570.067261,576.232178,576.232178,3918300,0.373932768,0.719862322,0.626067232
07/02/2014,580.042358,585.144226,576.530212,584.91571,584.91571,5306500,0.373932768,0.719862322,0.626067232
10/02/2014,582.113892,587.379639,580.73291,582.675232,582.675232,3915500,0.373932768,0.719862322,0.626067232
11/02/2014,586.271851,592.084045,582.317566,591.244507,591.244507,4128200,0.373932768,0.719862322,0.626067232
12/02/2014,590.658325,591.15509,586.872986,589.510803,589.510803,3471300,0.373932768,0.719862322,0.626067232
13/02/2014,586.559998,596.07312,586.018494,596.07312,596.07312,3696500,0.373932768,0.719862322,0.626067232
14/02/2014,593.941956,598.303589,592.546082,597.513733,597.513733,4401800,0.373932768,0.719862322,0.626067232
18/02/2014,596.823242,602.516235,596.122803,601.527649,601.527649,4245100,0.373932768,0.719862322,0.626067232
19/02/2014,598.755676,600.703003,594.880859,597.285217,597.285217,4234500,0.373932768,0.719862322,0.626067232
