01/11/2015,6
08/11/2015,5
15/11/2015,5
22/11/2015,4
29/11/2015,4
06/12/2015,5
13/12/2015,6
20/12/2015,7
27/12/2015,8
03/01/2016,10
10/01/2016,8
17/01/2016,9
24/01/2016,6
31/01/2016,7
07/02/2016,6
14/02/2016,6
21/02/2016,5
28/02/2016,8
06/03/2016,7
13/03/2016,10
20/03/2016,9
27/03/2016,8
03/04/2016,7
10/04/2016,8
17/04/2016,17
24/04/2016,18
01/05/2016,11
08/05/2016,10
15/05/2016,10
22/05/2016,16
29/05/2016,16
05/06/2016,14
12/06/2016,14
19/06/2016,22
26/06/2016,21
03/07/2016,13
10/07/2016,14
17/07/2016,23
24/07/2016,30
31/07/2016,18
07/08/2016,14
14/08/2016,22
21/08/2016,23
28/08/2016,18
04/09/2016,23
11/09/2016,21
18/09/2016,16
25/09/2016,17
02/10/2016,15
09/10/2016,17
16/10/2016,21
23/10/2016,23
30/10/2016,15
06/11/2016,20
13/11/2016,25
20/11/2016,22
27/11/2016,23
04/12/2016,38
11/12/2016,41
18/12/2016,37
25/12/2016,33
01/01/2017,32
08/01/2017,32
15/01/2017,29
22/01/2017,29
29/01/2017,47
05/02/2017,54
12/02/2017,45
19/02/2017,69
26/02/2017,100
05/03/2017,67
12/03/2017,55
19/03/2017,49
26/03/2017,46
02/04/2017,52
09/04/2017,43
16/04/2017,44
23/04/2017,39
30/04/2017,87
07/05/2017,55
14/05/2017,71
21/05/2017,42
28/05/2017,39
04/06/2017,70
11/06/2017,57
18/06/2017,88
25/06/2017,62
02/07/2017,47
09/07/2017,57
16/07/2017,51
23/07/2017,96
30/07/2017,55
06/08/2017,51
13/08/2017,44
20/08/2017,39
27/08/2017,39
03/09/2017,33
10/09/2017,38
17/09/2017,64
24/09/2017,41
01/10/2017,39
08/10/2017,41
15/10/2017,37
22/10/2017,77
29/10/2017,60
05/11/2017,63
12/11/2017,41
19/11/2017,26
26/11/2017,37
03/12/2017,42
10/12/2017,35
