Date,Open,High,Low,Close,Adj Close,Volume,Neg,Neut,Pos
18/11/2013,74.998573,75.312859,74.028572,74.089996,68.689835,61236000,0.46137863,0.46137863,0.538621371
19/11/2013,74.147141,74.76857,73.995712,74.221428,68.811676,52234700,0.46137863,0.46137863,0.538621371
20/11/2013,74.175713,74.345711,73.475716,73.571426,68.209053,48479200,0.46137863,0.46137863,0.538621371
21/11/2013,73.942856,74.458572,73.381432,74.44857,69.022263,65506700,0.46137863,0.46137863,0.538621371
22/11/2013,74.21714,74.594284,74.075714,74.257141,68.844795,55931400,0.46137863,0.46137863,0.538621371
25/11/2013,74.431427,75.124283,74.428574,74.82,69.366623,57327900,0.46137863,0.46137863,0.538621371
26/11/2013,74.874283,76.591431,74.85714,76.199997,70.646042,100345700,0.46137863,0.46137863,0.538621371
27/11/2013,76.615715,78,76.199997,77.994286,72.309563,90862100,0.46137863,0.46137863,0.538621371
29/11/2013,78.497147,79.761429,78.258568,79.438568,73.648575,79531900,0.46137863,0.46137863,0.538621371
02/12/2013,79.714287,80.618568,78.688568,78.747147,73.007538,118136200,0.43943884,0.43943884,0.56056116
03/12/2013,79.757141,80.91143,79.668571,80.902855,75.006126,112742000,0.43943884,0.43943884,0.56056116
04/12/2013,80.785713,81.312859,80.117142,80.714287,74.831306,94452400,0.43943884,0.43943884,0.56056116
05/12/2013,81.807144,82.162857,80.915718,81.128571,75.215393,111895000,0.43943884,0.43943884,0.56056116
06/12/2013,80.827141,80.964287,79.938568,80.002853,74.171722,86088100,0.43943884,0.43943884,0.56056116
09/12/2013,80.128571,81.368568,80.128571,80.918571,75.020699,80123400,0.43943884,0.43943884,0.56056116
10/12/2013,80.511429,81.125717,80.171425,80.792854,74.904144,69567400,0.43943884,0.43943884,0.56056116
11/12/2013,81,81.567146,79.955711,80.194283,74.349205,89929700,0.43943884,0.43943884,0.56056116
12/12/2013,80.305717,80.762856,80.004288,80.077141,74.240593,65572500,0.43943884,0.43943884,0.56056116
13/12/2013,80.407143,80.41143,79.095711,79.204285,73.431366,83205500,0.43943884,0.43943884,0.56056116
16/12/2013,79.288574,80.377144,79.28714,79.64286,73.837967,70648200,0.43943884,0.43943884,0.56056116
17/12/2013,79.401428,79.919998,79.054283,79.284286,73.505524,57475600,0.43943884,0.43943884,0.56056116
18/12/2013,78.528572,78.778572,76.971428,78.681427,72.946625,141465800,0.43943884,0.43943884,0.56056116
19/12/2013,78.5,78.571426,77.675713,77.779999,72.110886,80077200,0.43943884,0.43943884,0.56056116
20/12/2013,77.918571,78.80143,77.831429,78.431427,72.714844,109103400,0.43943884,0.43943884,0.56056116
23/12/2013,81.14286,81.531425,80.394287,81.441429,75.505447,125326600,0.43943884,0.43943884,0.56056116
24/12/2013,81.412857,81.697144,80.861427,81.095711,75.184914,41888700,0.43943884,0.43943884,0.56056116
26/12/2013,81.157143,81.35714,80.482857,80.557144,74.685608,51002000,0.43943884,0.43943884,0.56056116
27/12/2013,80.545715,80.629997,79.928574,80.012856,74.181,56471100,0.43943884,0.43943884,0.56056116
30/12/2013,79.637146,80.012856,78.902855,79.21714,73.443275,63407400,0.43943884,0.43943884,0.56056116
31/12/2013,79.167145,80.182854,79.14286,80.145714,74.304169,55771100,0.43943884,0.43943884,0.56056116
02/01/2014,79.382858,79.575714,78.860001,79.01857,73.259171,58671200,0.44779318,0.44779318,0.55220682
03/01/2014,78.980003,79.099998,77.204285,77.28286,71.649979,98116900,0.44779318,0.44779318,0.55220682
06/01/2014,76.778572,78.114288,76.228569,77.704285,72.040665,103152700,0.44779318,0.44779318,0.55220682
